u	i
119.52	0.918
120.71	1.004
120.98	1.025
121.14	1.036
122.13	1.111
123.34	1.201
123.66	1.224
125.99	1.398
126.10	1.407
126.77	1.457
127.56	1.515
127.90	1.540
128.14	1.578
128.81	1.609
129.16	1.641
129.76	1.680
130.94	1.770
131.74	1.828
131.93	1.841
132.40	1.874
132.70	1.898
135.88	2.15
136.89	2.23
138.14	2.33000000
141.97	2.62
144.16	2.78
146.94	3.00
150.10	3.24
153.35	3.50
157.41	3.81
160.17	4.04
163.55	4.29
167.85	4.63
169.76	4.78
173.73	5.11
176.24	5.39
179.99	5.61
182.86	5.84
184.56	5.98
189.32	6.37
193.22	6.70
197.42	7.06
200.28	7.30
203.90	7.61
209.75	8.09
214.40	8.52
216.72	8.72
218.18	8.87
222.76	9.28
226.52	9.62
227.75	9.74
229.70	9.970000000000
225.47	9.69
221.22	9.31
219.32	9.16
215.25	8.82
214.00	8.71
210.02	8.38
206.00	8.03
200.44	7.57
195.90	7.18
192.97	6.94
187.70	6.49
182.60	6.07
175.42	5.46
171.24	5.16
167.30	4.80
164.43	4.57
161.80	4.31
157.21	4.00
154.05	3.75
149.94	3.42
145.66	3.09
144.20	2.87
142.20	2.82
140.75	2.71
139.25	2.60
138.20	2.51
137.60	2.46
136.50	2.38
135.25	2.28
133.36	2.13
132.64	1.975
131.48	1.971
130.86	1.927
130.19	1.873
129.23	1.803
128.58	1.751
127.79	1.686
126.21	1.574
125.25	1.504
124.55	1.449
122.82	1.320
121.42	1.217
121.09	1.191
120.70	1.162
119.70	1.086
118.90	1.027
117.22	0.946000000000000000000
116.33	0.834
115.47	0.766
115.22	0.747
114.90	0.721
114.49	0.689
114.07	0.657
113.94	0.646
113.01	0.573
112.81	0.556
112.61	0.539
112.49	0.529
112.18	0.504
111.74	0.465
111.41	0.437
111.32	0.427
111.21	0.414
110.19	0.313
109.78	0.241